全体通し番号,教科,教科での番号,試験の回数,試験の番号,大項目,中項目,問題,選択肢1,選択肢2,選択肢3,選択肢4,答え,解説
482,臨床医学各論,40,第29回,問題54,2 神経・筋疾患,E. 認知症,症状の階段状悪化がよくみられるのはどれか。,1. 前頭側頭型認知症,2. レビー小体型認知症,3. 血管性認知症,4. アルツハイマー型認知症,3,3：血管性認知症は階段状の増悪が特徴的である。1：前頭側頭型認知症、2：レビー小体型認知症、4：アルツハイマー型認知症は緩徐に進行する疾患である。
483,臨床医学各論,41,第31回,問題62,2 神経・筋疾患,E. 認知症,アルツハイマー病の症状で正しいのはどれか。,1. まだら認知症,2. 物盗られ妄想,3. はぐらかし対応,4. パーキンソン症状,2,1：まだら認知症は**脳血管性**認知症に特徴的な症状である。2：物盗られ妄想は**アルツハイマー病**に特徴的な症状である。3：はぐらかし対応は**ピック病**に特徴的な症状である。4：パーキンソン症状は**レビー小体型**認知症に特徴的な症状である。
484,臨床医学各論,42,第32回,問題50,2 神経・筋疾患,E. 認知症,アルツハイマー病で正しいのはどれか。,1. ラクナ梗塞の多発により発症する。,2. アミロイドβ蛋白質が蓄積する。,3. 初期には記銘力障害はみられない。,4. MRI検査では前頭葉の萎縮が特徴的である。,2,1：ラクナ梗塞の多発で発症するのは**血管性認知症**である。2：大脳皮質に**アミロイドβタンパク**が蓄積した**老人斑**が認められる。3：初期から記憶（記銘力含む）障害がみられる。4：MRI検査では**海馬や側頭葉を中心とした大脳皮質**の萎縮が特徴的である。
485,臨床医学各論,43,第33回,問題58,2 神経・筋疾患,E. 認知症,アルツハイマー病の初期にみられるのはどれか。,1. 幻視,2. 記憶障害,3. てんかん発作,4. 反社会的行動,2,1：幻視は**レビー小体型認知症**してみられる。2：アルツハイマー病の初期には記憶に限定した障害（記憶障害）がみられる。3：てんかん発作は様々な**脳障害**でみられるが、アルツハイマー病の初期にはみられない。4：反社会的行動や人格変化は**ピック病**でみられる。
486,臨床医学各論,44,第33回,問題68,2 神経・筋疾患,E. 認知症,病初期から人格障害がよくみられるのはどれか。,1. 脳血管性認知症,2. 前頭側頭型認知症,3. アルツハイマー病,4. レビー小体型認知症,2,【解説】**前頭葉**の障害で人格障害がみられやすい。1：脳血管性認知症では人格は保たれる。2：前頭側頭型認知症では病初期から人格障害（**脱抑制**、**感情鈍麻**、**自発性の低下**など）がみられる。3：アルツハイマー病では晩期に人格障害がみられる。4：レビー小体型認知症では晩期に人格障害がみられる。
487,臨床医学各論,45,第34回,問題70,2 神経・筋疾患,E. 認知症,レビー小体型認知症に最も特徴的なのはどれか。,1. 近所の散歩中に迷子になる。,2. 現実味のある幻視がみえる。,3. 物を盗まれたという妄想がある。,4. 自動販売機での切符購入が困難になる。,2,【解説】レビー小体型認知症はアルツハイマー型認知症に次いで多い認知症であり、初期には認知機能低下は目立たず、**幻視**や妄想、抑うつなどの精神症状が前景に立つ。さらに、レム睡眠行動障害やパーキンソニズム、自律神経症状などもみられる予後不良な疾患である。1：見当識障害、3：**物盗られ妄想**はアルツハイマー型認知症で多い。2：具体的で具体的な幻視が特徴である。4：遂行機能障害は他の認知症でもみられる。
488,臨床医学各論,46,第29回,問題52,2 神経・筋疾患,F. 神経筋接合部疾患・筋疾患,デュシェンヌ型筋ジストロフィーについて正しいのはどれか。,1. 女性に多い。,2. 腓腹筋の仮性肥大がみられる。,3. 血清CK値は正常である。,4. 関節拘縮のため踵足になる。,2,【解説】デュシェンヌ型筋ジストロフィーは、伴性劣性遺伝疾患で、1：**男性**に多く、2：腓腹筋の**仮性肥大**がみられる。3：筋繊維の壊死と再生を主病変とするため、**血清CK**は高値となる。4：腓腹筋の筋原性筋萎縮に伴う**尖足**がみられる。
489,臨床医学各論,47,第29回,問題53,2 神経・筋疾患,G. 運動ニューロン疾患,筋萎縮性側索硬化症に特徴的なのはどれか。,1. 膀胱直腸障害,2. 褥瘡,3. 嚥下障害,4. 眼球運動障害,3,【解説】筋萎縮性側索硬化症では**下位運動ニューロン障害**と**上位運動ニューロン障害**がみられる。四大陰性症状（みられない症状）として1：**膀胱直腸障害**、2：**褥瘡**、4：**眼球運動障害**、**感覚障害**が挙げられる。3：嚥下障害は球麻痺・仮性球麻痺症状としてみられる。
490,臨床医学各論,48,第30回,問題53,2 神経・筋疾患,G. 運動ニューロン疾患,筋萎縮性側索硬化症によくみられるのはどれか。,1. 感覚障害,2. 眼球運動障害,3. 膀胱直腸障害,4. 筋線維束性れん縮,4,【解説】筋萎縮性側索硬化症では4：**筋線維束性れん縮**がみられる。1：**感覚障害**、2：**眼球運動障害**、3：**膀胱直腸障害**、**褥瘡**は四大陰性症状であり、筋萎縮性側索硬化症ではみられない。
491,臨床医学各論,49,第33回,問題70,2 神経・筋疾患,G. 運動ニューロン疾患,筋萎縮性側索硬化症によくみられるのはどれか。,1. 膀胱直腸障害,2. 眼球運動障害,3. 嚥下障害,4. 褥瘡,3,【解説】筋萎縮性側索硬化症（ALS）では**上位・下位運動ニューロン障害**の他に、球麻痺症状として3：**嚥下障害**、**構音障害**、**舌萎縮**などがみられる。ALSでみられない症状（四大陰性症状）として1：**膀胱直腸障害**、2：**眼球運動障害**、4：**褥瘡**、**他覚的感覚障害**がある。
492,臨床医学各論,50,第27回,問題56,2 神経・筋疾患,I. 末梢神経疾患,ラムゼイハント症候群の治療薬はどれか。,1. 免疫抑制薬,2. 抗菌薬,3. 抗ウイルス薬,4. 非ステロイド性抗炎症薬,3,【解説】ラムゼイハント症候群とは、水痘帯状疱疹ウイルスを原因として、顔面神経麻痺に難聴、めまい、耳鳴り、外耳炎を合併した疾患である。治療としては、ステロイドホルモン剤と3：**抗ウイルス薬**による薬物治療を行う。
493,臨床医学各論,51,第28回,問題55,2 神経・筋疾患,I. 末梢神経疾患,次の文で示す症例の確定診断のために最も重要な検査はどれか。「25歳の男性。10日前に上気道炎に罹患、3日前から両下肢の粗大筋力が低下、後に両上肢へと進展した。」,1. 頸椎MRI検査,2. 末梢神経伝導速度検査,3. 血中CK値測定,4. 遺伝子検査,2,【解説】上気道炎後に起こる四肢筋力は、ギラン・バレー症候群による末梢神経障害が疑われることから、2：**末梢神経伝導速度検査**や髄液検査、血中抗ガングリオシド抗体の測定などが確定診断のために重要となる。本症では、対称性の四肢筋力低下の他、四肢の感覚障害が出現することもあり、重症例では嚥下障害や呼吸障害を呈するケースもあり、顔面神経麻痺や眼球運動障害などの脳神経障害を合併することもある。
494,臨床医学各論,52,第32回,問題51,2 神経・筋疾患,I. 末梢神経疾患,ギラン・バレー症候群について正しいのはどれか。,1. 中年女性に多い。,2. 遺伝性疾患である。,3. 骨格筋に病因がある。,4. 先行感染を認めることが多い。,4,【解説】ギラン・バレー症候群は4：**先行感染**を契機として生じる2：**自己免疫疾患**で、3：**末梢神経**に病因がある疾患である。1：性差はない。
495,臨床医学各論,53,第33回,問題85,2 神経・筋疾患,I. 末梢神経疾患,「30歳の男性。右手小指のしびれを主訴に来院。手関節の可動域制限はないが、右肘関節の屈曲可能域は120度であった。幼少期に右肘関節骨折の治療歴がある。」身体所見上認められるのはどれか。,1. 肘関節屈筋力低下,2. 外反肘,3. 下垂手,4. 猿手,2,【解説】幼少期の肘関節骨折（おそらく**上腕骨外顆骨折**）の後遺症としての2：外反肘変形及び、可動域制限から**変形性肘関節症**を疑い、小指のしびれを訴えることから、**遅発性尺骨神経麻痺（肘管症候群）**であると考える。1：肘屈曲は**筋皮神経**のため関係がない。3：下垂手は**橈骨神経麻痺**でみられる。4：猿手は**正中神経麻痺**でみられる。
496,臨床医学各論,54,第33回,問題86,2 神経・筋疾患,I. 末梢神経疾患,「30歳の男性。右手小指のしびれを主訴に来院。手関節の可動域制限はないが、右肘関節の屈曲可能域は120度であった。幼少期に右肘関節骨折の治療歴がある。」障害神経はどれか。,1. 筋皮神経,2. 橈骨神経,3. 正中神経,4. 尺骨神経,4,【解説】問題36の解説を参照。
497,臨床医学各論,55,第34回,問題61,2 神経・筋疾患,I. 末梢神経疾患,手根管症候群の原因とならないのはどれか。,1. 肥満,2. 妊娠,3. 貧血,4. 人工透析,3,【解説】手根管症候群は種々の原因で**手根管内圧が上昇**することで正中神経が障害される疾患である。1：肥満は手根管内圧上昇の原因となる。2：妊娠も浮腫により発症しやすい。3：貧血は直接の原因とはならない。4：透析患者ではアミロイド沈着により発症する（透析アミロイドーシス）。
498,臨床医学各論,56,第34回,問題87,2 神経・筋疾患,I. 末梢神経疾患,「58歳の女性。6日前から右肩のこり感があった。昨日から右肩甲骨内側の降りと右前腕橈側から母指・示指のしびれが出現した。右上肢の挙上障害はなく、衣服のボタンかけにも異常はない。下肢に症状はない。」神経学的所見で正しいのはどれか。,1. ワルテンベルグ反射陽性,2. 指鼻試験陽性,3. バレー徴候陽性,4. 腕橈骨筋腱反射減弱,4,【解説】症状より**C6神経根障害**が考えられる。1：ワルテンベルグ反射は**錐体路障害**でみられる病的反射である。2：指鼻試験は**小脳機能検査**である。3：バレー徴候は**錐体路障害**でみられる。4：C6支配の**腕橈骨筋腱反射**が減弱する。
499,臨床医学各論,57,第34回,問題88,2 神経・筋疾患,I. 末梢神経疾患,「58歳の女性。6日前から右肩のこり感があった。昨日から右肩甲骨内側の降りと右前腕橈側から母指・示指のしびれが出現した。右上肢の挙上障害はなく、衣服のボタンかけにも異常はない。下肢に症状はない。」本患者の筋力評価で最も適切なのはどれか。,1. 右三角筋MMT 2,2. 右上腕二頭筋MMT 2,3. 右手関節背屈力低下,4. 右小指外転筋力低下,3,【解説】C6神経根障害では**手関節背屈筋力**の（橈骨神経支配）低下がみられる。1：三角筋は**C5**。2：上腕二頭筋は**C5-6**。4：小指外転は尺骨神経（**C8-T1**）である。
500,臨床医学各論,58,第25回,問題65,3 呼吸器・胸壁疾患,A. 感染性肺疾患,肺抗酸菌症について正しいのはどれか。,1. 結核患者は届け出る必要はない。,2. 咳が4週間以上持続している場合は肺結核を考慮する。,3. 抗結核薬は1剤を投与する。,4. 非結核性抗酸菌症も結核と同様に隔離する必要がある。,2,"【解説】**肺抗酸菌症**は、結核と非結核性抗酸菌症の鑑別を要する。1：結核の場合には**保健所への届出**が必要である。2：咳が長期間持続する場合は、肺結核を考慮する。3：抗結核薬は、**3剤**の投与を基本とする。4：**非結核性抗酸菌症は感染しない**ため、隔離の必要はない。"
501,臨床医学各論,59,第26回,問題66,3 呼吸器・胸壁疾患,A. 感染性肺疾患,呼吸器感染症について正しいのはどれか。,1. 上気道炎の治療は主に抗菌薬である。,2. 65歳以上の高齢者には肺炎球菌ワクチンが推奨されている。,3. インターフェロンγ遊離試験は非結核性抗酸菌症で陽性となる。,4. 日本の結核患者数は先進国の中では少ない。,2,"【解説】1：上気道炎の多くは**ウイルス感染症**であり、自然治癒することも多く、むやみに抗菌薬を使用するべきではない。2：肺炎球菌ワクチンは、肺炎球菌による肺炎などの感染症を予防し、重症化を防ぐことから、**65歳以上の高齢者**や**心疾患**、**呼吸器疾患**などの基礎疾患を持つ者は接種が推奨されている。"
502,臨床医学各論,60,第28回,問題66,3 呼吸器・胸壁疾患,A. 感染性肺疾患,呼吸器感染症について正しいのはどれか。,1. 非結核性抗酸菌は人から人へ感染する。,2. 感冒の原因は主に細菌感染である。,3. 肺結核の治療は抗菌薬の単剤治療である。,4. 肺炎治療で菌の耐性化が問題となっている。,4,"【解説】1：非結核性抗酸菌症は結核とは異なり、人から人への感染はない。2：感冒は上気道のウイルス感染が原因である。3：肺結核の治療は、薬剤機序の異なる治療薬を組み合わせた方法が選択される。4：肺炎治療では、菌の**耐性化**が問題となっている。"
503,臨床医学各論,61,第30回,問題59,3 呼吸器・胸壁疾患,A. 感染性肺疾患,非結核性抗酸菌症について正しいのはどれか。,1. 男性に多い。,2. 人から人へ感染する。,3. 難治性である。,4. 肺切除の対象とはならない。,3,"【解説】非結核性抗酸菌による感染症で病原菌は土中、水中、塵埃などに生息する環境常在菌である。2：一般的に**人から人への感染はみられない**。1：女性に多く、治療への反応が十分ではなく再燃しやすいため、3：**難治性**である。4：主病巣を摘出する手術療法（肺切除）は重要な併用療法である。"
504,臨床医学各論,62,第31回,問題55,3 呼吸器・胸壁疾患,A. 感染性肺疾患,肺結核について正しいのはどれか。,1. 主な感染経路は飛沫感染である。,2. 抗結核薬は単剤で用いる。,3. 結核と診断したら直ちに届け出る。,4. 医療者はサージカルマスク着用が推奨される。,3,"【解説】1：主な感染経路は**空気感染**である。2：治療は**多剤併用療法**が用いられる。結核は2類感染症であり、3：結核と診断したら直ちに届け出が必要である。4：医療者は**N95**マスク着用、患者は**サージカルマスク**着用が推奨される。"
505,臨床医学各論,63,第31回,問題70,3 呼吸器・胸壁疾患,A. 感染性肺疾患,かぜ症候群について正しいのはどれか。,1. ほとんどがウイルス感染である。,2. 初期から呼吸音に異常がみられる。,3. 主な感染経路は空気感染である。,4. 抗菌薬を主に用いる。,1,"【解説】1：ほとんどがウイルス感染である（80%以上）。2：上気道粘膜の急性炎症であるため、初期には呼吸音に異常はみられない。3：主な感染経路は**飛沫感染**や**接触感染**である。4：ウイルス感染のため、抗菌薬は無効である。"
506,臨床医学各論,64,第32回,問題55,3 呼吸器・胸壁疾患,A. 感染性肺疾患,肺結核について正しいのはどれか。,1. 空気感染する。,2. 治療薬は単剤を用いる。,3. 感染すると半数が発病する。,"4. 我が国の2021年の新規発症患者数は1,000人以下である。",1,"【解説】結核菌の感染経路は主に1：**空気感染**である。2：治療は**多剤併用化学療法**である。3：感染者の**10%前後**を発病する。4：我が国の2021年の新規発症患者数（新規登録結核患者数）は11519人である。"
507,臨床医学各論,65,第33回,問題53,3 呼吸器・胸壁疾患,A. 感染性肺疾患,抗酸菌感染症について正しいのはどれか。,1. 肺結核の主な感染経路は飛沫感染である。,"2. 我が国の2022年の結核新規発症患者数は1,000人以下である。",3. 非結核性抗酸菌は人から人に感染する。,4. 非結核性抗酸菌症は難治性である。,4,"【解説】1：**空気感染**である。2：2022年の結核新規発症患者数は10235人である。3：非結核性抗酸菌は**塵埃**、**土壌**、**水**などの自然界に広く分布しており人から人へは感染しない。4：非結核性抗酸菌症の原因の多くは薬剤感受性が不良のため治療は困難であることが多い。"
508,臨床医学各論,66,第34回,問題64,3 呼吸器・胸壁疾患,A. 感染性肺疾患,真菌性肺炎はどれか。,1. レジオネラ肺炎,2. マイコプラズマ肺炎,3. クラミジア肺炎,4. ニューモシスチス肺炎,4,"【解説】1：レジオネラは空調設備や温泉、加湿器などの水環境から感染する**細菌**である。2：マイコプラズマは若年者に多く、乾いた咳が長く続くことを特徴とする**細菌**である。3：クラミジアは**細胞内寄生菌**である。4：ニューモシスチス肺炎は**真菌**による肺炎であり、HIV感染症やステロイド投与中などの免疫不全状態で発症する（日和見感染）。"
509,臨床医学各論,67,第27回,問題65,3 呼吸器・胸壁疾患,B. 気道閉塞性疾患,COPDで正しいのはどれか。,1. 喫煙は関与しない。,2. 安静時の呼吸困難が特徴である。,3. 肺機能検査では閉塞性障害が特徴である。,4. 発作時に気管支狭窄音を伴う。,3,"【解説】慢性閉塞性肺疾患は、1：**喫煙**などにより肺が持続的な炎症（肺胞の破壊と気管支の炎症・狭窄）を起こし、呼吸機能の低下をきたした状態である。症状として咳、痰、2：**労作性呼吸困難**が挙げられ、肺機能検査では3：**閉塞性障害**が特徴である。また、呼気の延長、4：**呼吸音の減弱**がみられる。"
510,臨床医学各論,68,第28回,問題67,3 呼吸器・胸壁疾患,B. 気道閉塞性疾患,COPDについて正しいのはどれか。,1. 女性に多い。,2. 拘束性換気障害を呈する。,3. 安静時の呼吸困難が特徴である。,4. 増悪予防にはインフルエンザワクチン接種は有効である。,4,"【解説】慢性閉塞性肺疾患（COPD：chronic obstructive pulmonary disease）とは、喫煙などにより有害物質を長期に吸入暴露することで生じる肺の炎症性疾患の総称である。日本では男女比5:2と1：**男性に多く**、2：**閉塞性換気障害**を呈し、3：**労作性**の呼吸困難が特徴である。原因のほとんどは喫煙とされており、禁煙とあわせて呼吸リハビリテーションや運動療法が行われる。4：増悪を避けるために、**インフルエンザワクチン**や**肺炎球菌ワクチン**の接種が勧められる。"
511,臨床医学各論,69,第31回,問題56,3 呼吸器・胸壁疾患,B. 気道閉塞性疾患,COPDについて正しいのはどれか。,1. 肺拡散能（DLCO）は正常である。,2. 労作時の呼吸困難が特徴である。,3. 発作時に気管支狭窄音を伴う。,4. 肺機能検査では拘束性換気障害が特徴である。,2,"【解説】COPDでは肺胞壁組織と肺毛細血管網の破壊が起こるため1：肺拡散能は減少する。2：**労作時の呼吸困難**、**喘鳴**、**喀痰**が主症状である。3：発作時に気管支狭窄音を伴うのは気管支喘息である。COPDにおいても気管支狭窄音が聴取されるが、COPDには発作という考え方はない。4：肺機能検査では**閉塞性換気障害**が特徴である。"
512,臨床医学各論,70,第33回,問題54,3 呼吸器・胸壁疾患,B. 気道閉塞性疾患,COPDについて最も適切なのはどれか。,1. 受動喫煙は関与しない。,2. 肺癌の合併に注意する。,3. 安静時の呼吸困難が特徴である。,4. 禁煙で呼吸機能は改善する。,2,"【解説】1：最も重要な危険因子は**喫煙**であるが、**受動喫煙**、**大気汚染**や**粉塵**への暴露も危険因子となる。2：COPDの合併症には**肺癌**、**肺線維症**、**気胸**、**肺炎**、**肺高血圧症**などがある。3：**咳嗽**、**喀痰**、**労作時の呼吸困難**が特徴である。4：COPDは不可逆的な病変であるため、禁煙はCOPDの進行を遅らせることが目的となり、呼吸機能の改善は見込めない。"
513,臨床医学各論,71,第25回,問題64,3 呼吸器・胸壁疾患,C. アレルギー性疾患,成人の気管支喘息について正しいのはどれか。,1. 患者数は減少傾向にある。,2. 症状は昼間に起こりやすい。,3. 治療は吸入ステロイド薬が中心である。,4. 治癒率は50%である。,3,"【解説】気管支喘息は近年、小児、成人共に1：患者数は**増加傾向**にある。症状は2：**深夜から明け方**にかけて発作が起こるのが特徴で、治療は長期管理としては、3：**吸入ステロイド薬**が主に用いられる。小児の治癒率が約70%とされる一方、4：成人の治癒率は**10%以下**とされている。"
514,臨床医学各論,72,第31回,問題67,3 呼吸器・胸壁疾患,C. アレルギー性疾患,成人の気管支喘息について正しいのはどれか。,1. 拘束性換気障害をきたす。,2. 発作は昼間に起こりやすい。,3. 血液検査では好塩基球が増加する。,4. 吸入ステロイド薬が治療の中心である。,4,"【解説】1：**閉塞性換気障害**をきたす。2：発作は**夜間から早朝**に起こりやすい。3：血液検査では**好酸球**が増加する。4：吸入ステロイド薬が治療の中心である。"
515,臨床医学各論,73,第33回,問題55,3 呼吸器・胸壁疾患,C. アレルギー性疾患,気管支喘息について正しいのはどれか。,1. Ⅱ型アレルギーである。,2. 拘束性換気障害をきたす。,3. 発作は夜間や明け方に多い。,4. 気管支拡張薬が治療の中心である。,3,"【解説】1：**Ⅰ型アレルギー**である。2：1秒率の低下がみられる**閉塞性換気障害**をきたす。3：発作は夜間から明け方に多い。4：**吸入ステロイド薬**が治療の中心となる。"
516,臨床医学各論,74,第25回,問題61,3 呼吸器・胸壁疾患,F. 腫瘍性疾患,肺癌患者にみられる所見と浸潤部位の組み合わせで正しいのはどれか。,1. 嗄声 ―― 交感神経,2. 顔面浮腫 ―― 上大静脈,3. 縮瞳 ―― 反回神経,4. 腰痛 ―― 横隔神経,2,"【解説】肺癌患者にみられる1：**嗄声**は、縦隔リンパ節転移による**反回神経**の障害によって起こる。腫瘍が2：**上大静脈**を圧迫することにより、**顔面**、頸部および上肢の**浮腫**が出現する。肺尖部への浸潤により**頸部交感神経節**が障害されると、**ホルネル症候群**（3：**縮瞳**、**眼瞼下垂**、**眼球陥凹**）を生じる。進行すると、他臓器、脳、骨へ転移し、骨転移による4：**腰痛**などもみられる。"
517,臨床医学各論,75,第26回,問題62,3 呼吸器・胸壁疾患,F. 腫瘍性疾患,肺癌について正しいのはどれか。,1. 死亡数は女性が多い。,2. 骨転移はまれである。,3. 小細胞癌が最も多い。,4. 受動喫煙は危険因子である。,4,"【解説】肺癌は1：**男性**に多く、進行すると、2：**骨**、リンパ節、脳、肝臓、副腎などへの転移が好発する。組織型により**非小細胞肺癌**と3：**小細胞肺癌**に大別され、**非小細胞肺癌**のなかでも腺癌が最も多い。喫煙との関連性が非常に高く、4：**受動喫煙**も含めて、喫煙により発症する危険性が高まるとされている。"
518,臨床医学各論,76,第26回,問題61,3 呼吸器・胸壁疾患,F. 腫瘍性疾患,中皮腫と関連するのはどれか。,1. 塩蔵食品,2. アルコール,3. アスベスト,4. アセトアルデヒド,3,"【解説】**中皮細胞**から発生した腫瘍を中皮腫といい、その発生部位によって**胸膜中皮腫**、**心膜中皮腫**、**腹膜中皮腫**などに分けられる。**胸膜中皮腫**は悪性腫瘍の一つであり、**悪性胸膜中皮腫**と呼ばれ、その発症には3：**アスベスト**が関与していることが知られている。悪性胸膜中皮腫の症状としては、胸痛、咳、呼吸困難や胸部圧迫感がみられる。なお、胸膜中皮腫は現在、孤立性線維性腫瘍に分類を変更されている。"
519,臨床医学各論,77,第27回,問題79,3 呼吸器・胸壁疾患,F. 腫瘍性疾患,「67歳の女性。胸部エックス線写真で右上肺野の末梢側に2cm大の結節影があり、気管支内視鏡検査で肺癌と診断された。」最も可能性が高い組織型はどれか。,1. 腺癌,2. 小細胞癌,3. 大細胞癌,4. 扁平上皮癌,1,肺癌は組織型として、非小細胞癌と2：小細胞癌に大別でき、非小細胞癌は1：腺癌、4：扁平上皮癌、3：大細胞癌に分類できる。なかでも1：腺癌は最も発生頻度が高い。1：腺癌は末梢型（肺野部）への発生頻度が高く、女性に多いという特徴を持つ。
520,臨床医学各論,78,第27回,問題80,3 呼吸器・胸壁疾患,F. 腫瘍性疾患,遠隔転移を調べる上で必要な検査はどれか。,1. 呼吸機能,2. 冠動脈造影,3. 脳造影MRI,4. 心エコー,3,肺癌は、脳、骨、肝臓、副腎に転移する可能性が高い。したがって、遠隔転移の有無を調べるうえで、3：脳造影MRIが必要な検査となる。
521,臨床医学各論,79,第31回,問題57,3 呼吸器・胸壁疾患,F. 腫瘍性疾患,肺癌患者にみられる所見と浸潤部位の組合せで正しいのはどれか。,1. 縮瞳――上大静脈,2. 顔面浮腫――交感神経,3. 嗄声――反回神経,4. 腰痛――横隔神経,3,問題17の解説を参照。
522,臨床医学各論,80,第31回,問題58,3 呼吸器・胸壁疾患,F. 腫瘍性疾患,胸膜中皮腫と関連するのはどれか。,1. 塩蔵食品,2. アスベスト,3. アセトアルデヒド,4. ジクロロプロパン,2,問題19の解説を参照。
523,臨床医学各論,81,第29回,問題61,3 呼吸器・胸壁疾患,G. その他,呼吸器疾患について正しいのはどれか。,1. 自然気胸は胸痛を伴う。,2. 肺線維症は閉塞性換気障害をきたす。,3. 気管支喘息による死亡者数は増加している。,4. COPDは安静時の呼吸困難が特徴的である。,1,1：自然気胸は突然の胸痛、呼吸困難、息切れ、発作的な咳などが主な症状である。2：肺線維症は線維化による肺コンプライアンス（肺の膨らみやすさ）低下により拘束性換気障害をきたす。3：気管支喘息による死亡者数は吸入ステロイドの改善と普及によって減少している。4：COPDは労作時呼吸困難が特徴的である。
524,臨床医学各論,82,第32回,問題54,3 呼吸器・胸壁疾患,G. その他,気管支拡張症について正しいのはどれか。,1. 気道の変化は不可逆性である。,2. 小児喘息の既往をもつことが多い。,3. 喀血をきたすことはない。,4. 治療は抗菌薬を短期投与する。,1,気管支拡張症は気管支壁の破壊を伴う1：不可逆性拡張であり、続発性のものは2：副鼻腔炎やびまん性汎細気管支炎の既往を持つことが多い。3：咳嗽、喀痰、血痰、喀血などが症状としてみられる。4：治療は抗菌薬を長期投与する。
525,臨床医学各論,83,第32回,問題89,3 呼吸器・胸壁疾患,G. その他,「18歳の男性。背が高く痩せている。突然、右胸の痛みと息切れを感じた。」最初に行う検査はどれか。,1. 血液生化学検査,2. 呼吸機能検査,3. 胸部単純エックス線検査,4. 胸部単純CT検査,3,若年男性、高身長、痩せ型で突然の胸痛と息切れ（呼吸困難）がみられるため、原発性自然気胸（単純性気胸）を疑う。原発性自然気胸で最初に行う検査は3：胸部単純X線検査であり、X線検査で明らかにできない場合は4：胸部単純CT検査を行う。
526,臨床医学各論,84,第32回,問題90,3 呼吸器・胸壁疾患,G. その他,血圧が下がり息切れが増悪した。最も適切な対応はどれか。,1. 経過観察,2. 鎮痛剤の投与,3. 生理食塩水点滴,4. 胸腔ドレナージ,4,呼吸症状の増悪にショック状態（血圧低下）を呈しているため、緊張性気胸を疑う。緊張性気胸の場合は迅速に4：胸腔ドレナージによる脱気を行う。
527,臨床医学各論,85,第30回,問題61,4 循環器疾患,A. 不整脈,不整脈で予後が最も良いのはどれか。,1. 心室細動,2. 心房細動,3. 上室性期外収縮,4. Ⅲ度房室ブロック,3,1：心室細動は心室が無秩序に興奮し、心収縮がなく血液排出が停止するので、直ちに処置しないと致死的となる。2：心房細動は左房内で血栓が生じやすく、心原性脳塞栓症のリスクとして重要である。3：上室性期外収縮は臨床上多くみられる不整脈で通常は無症状で良性である。4：心房から心室への興奮伝導が遅延ないし途絶した状態の房室ブロックのうち、興奮伝導が完全停止したもので徐脈や心停止の原因となる。
528,臨床医学各論,86,第32回,問題60,4 循環器疾患,A. 不整脈,AEDによる除細動の適応となる不整脈はどれか。,1. 心室細動,2. 心房細動,3. 心室性期外収縮,4. 上室性期外収縮,1,AEDに関わらず、除細動の適応となるのは1：心室細動である。
529,臨床医学各論,87,第34回,問題56,4 循環器疾患,A. 不整脈,心房細動について最も適切なのはどれか。,1. 脳梗塞の原因となる。,2. 原因に甲状腺機能低下症がある。,3. 好発年齢は40歳代である。,4. 薬物療法は無効である。,1,1：心房細動では血栓形成により脳梗塞（心原性脳塞栓症）の原因となる。2：甲状腺機能亢進症が原因となる。3：高齢者に多い。4：抗凝固療法など薬物療法が重要である。
530,臨床医学各論,88,第25回,問題66,4 循環器疾患,B. 心不全,心不全について正しいのはどれか。,1. 左心不全では下肢の浮腫が顕著である。,2. 左心不全では臥位で症状が軽快する。,3. 心拍出量が低下する。,4. 血中ヒト脳性ナトリウム利尿ペプチド(BNP)値が低下する。,3,1：右心不全では身体全体、特に下肢の浮腫が顕著である。2：左心不全では呼吸困難、咳嗽などの症状をきたす。座位で軽減するため、起座呼吸となる。心不全では3：心拍出量は低下し、4：血中ヒト脳性ナトリウム利尿ペプチド（BNP）値は上昇する。
531,臨床医学各論,89,第31回,問題59,4 循環器疾患,B. 心不全,右心不全によくみられる身体所見はどれか。,1. 肺うっ血,2. 頻呼吸,3. 下肢の浮腫,4. 四肢チアノーゼ,3,問題4の解説を参照。
532,臨床医学各論,90,第32回,問題61,4 循環器疾患,B. 心不全,左心不全の身体所見はどれか。,1. 腹水,2. 下肢の浮腫,3. 肝腫大,4. 起座呼吸,4,左心不全は肺静脈脈、肺毛細血管内圧の上昇やうっ血が生じ、初期には安静時の息切れ、重症化すると安静時呼吸困難や4：起座呼吸などをきたす。右心不全は体静脈系にうっ血が生じ、1：腹水、2：下肢に強い全身の浮腫、3：肝腫大などをきたす。
533,臨床医学各論,91,第26回,問題68,4 循環器疾患,D. 心臓弁膜症,僧帽弁狭窄症について正しいのはどれか。,1. 男性に多い。,2. 先天性が多い。,3. 心拍出量が増加する。,4. 心房細動の合併が多い。,4,僧帽弁狭窄症のほとんどは2：小児期のリウマチ熱によって起こり、女性の場合、重症化すると妊娠によって心不全に至る。進行すると、3：心拍出量が低下する。4：心房細動のほか、肺高血圧症や血栓塞栓症の合併が多い。
